Book Name,exact_book_name,author,publish_date,ratings_count,goodreads_link
Limitless: Upgrade your Brain,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,,21169,https://www.goodreads.com/book/show/49994260-limitless?from_search=true&from_srp=true&qid=pYzv6d3ve5&rank=1
Lost connections,Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,Johann Hari,2018,40649,https://www.goodreads.com/book/show/34921573-lost-connections?from_search=true&from_srp=true&qid=RmetAql44b&rank=1
Make time,Make Time: How to Focus on What Matters Every Day,Jake Knapp,2018,24820,https://www.goodreads.com/book/show/37880811-make-time?from_search=true&from_srp=true&qid=Hz5RPj55e2&rank=1
Make your bed,Make Your Bed: Little Things That Can Change Your Life...and Maybe the World,William H. McRaven,2017,153081,https://www.goodreads.com/book/show/31423133-make-your-bed?from_search=true&from_srp=true&qid=Km3tvtVedM&rank=1
Building a StoryBrand,Building a StoryBrand 2.0: Clarify Your Message So Customers Will Listen,Donald Miller,2017,26640,https://www.goodreads.com/book/show/210137279-building-a-storybrand-2-0?from_search=true&from_srp=true&qid=0CvL9MM0Zn&rank=1
Marketing 4.0,ONLINE MARKETING: How I turned $0 into $7294 in 13 days (+2 BONUS BOOKS: The 9 deadly mistakes - The ultimate mind-set) Scale up your internet business (Digital Marketing Book 4),Riley Reive,,4,https://www.goodreads.com/book/show/33845145-online-marketing?from_search=true&from_srp=true&qid=02g0zNI8ye&rank=2
Master your Emotions,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),Thibaut Meurisse,2018,18234,https://www.goodreads.com/book/show/40078926-master-your-emotions?from_search=true&from_srp=true&qid=RqkTHj3F9S&rank=1
Meta skills 5,Five Meta Skills for 21st Century Success,Marc R Prensky,,3,https://www.goodreads.com/book/show/43271264-five-meta-skills-for-21st-century-success?from_search=true&from_srp=true&qid=TLeGdPR5KE&rank=1
Mindset,Mindset: The New Psychology of Success,Carol S. Dweck,2006,171753,https://www.goodreads.com/book/show/40745.Mindset?from_search=true&from_srp=true&qid=OlEuYjw1u7&rank=1
Mini habits,"Mini Habits: Smaller Habits, Bigger Results (Mini Habits, #1)",Stephen Guise,2013,7854,https://www.goodreads.com/book/show/20567918-mini-habits?from_search=true&from_srp=true&qid=1suR4M9MBC&rank=1
Money honey,Money Honey: A Simple 7-Step Guide for Getting Your Financial $hit Together,Rachel  Richards,,1122,https://www.goodreads.com/book/show/55291700-money-honey?from_search=true&from_srp=true&qid=ZM9JM0wG4J&rank=1
Money master the game 7 simple steps to financial freedom,MONEY Master the Game: 7 Simple Steps to Financial Freedom (Tony Robbins Financial Freedom Series),Anthony Robbins,2014,25691,https://www.goodreads.com/book/show/23014006-money-master-the-game?from_search=true&from_srp=true&qid=Tf4ALWucZh&rank=1
Moneyball,Moneyball,Michael   Lewis,2003,142455,https://www.goodreads.com/book/show/1301.Moneyball?from_search=true&from_srp=true&qid=CojZZJoX5W&rank=1
Never eat alone,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,,51187,https://www.goodreads.com/book/show/84699.Never_Eat_Alone?from_search=true&from_srp=true&qid=uI8Wgkwiot&rank=1
"Never get a ""Real"" Job","Never Get a “Real” Job: How to Dump Your Boss, Build a Business and Not Go Broke",Scott Gerber,2010,400,https://www.goodreads.com/book/show/8783912-never-get-a-real-job?from_search=true&from_srp=true&qid=wfPTrRQ9H5&rank=1
Not nice,Not So Nice Guy,R.S. Grey,2018,22769,https://www.goodreads.com/book/show/41051411-not-so-nice-guy?from_search=true&from_srp=true&qid=cOUKPE6cOv&rank=1
Nutrition and physical degeneration,Nutrition and Physical Degeneration: A Comparison of Primitive and Modern Diets and Their Effects,Weston A. Price,1939,2270,https://www.goodreads.com/book/show/544354.Nutrition_and_Physical_Degeneration?from_search=true&from_srp=true&qid=KYNqVeHTp1&rank=1
principles life and work,Principles: Life and Work,Ray Dalio,2017,65597,https://www.goodreads.com/book/show/34536488-principles?from_search=true&from_srp=true&qid=OBYff00UrN&rank=1
Psyched up,Psyched Up: How the Science of Mental Preparation Can Help You Succeed,Daniel McGinn,2017,372,https://www.goodreads.com/book/show/33400664-psyched-up?from_search=true&from_srp=true&qid=EsTv9LW1T3&rank=1
PsychoPath free,"Psychopath Free: Recovering from Emotionally Abusive Relationships With Narcissists, Sociopaths, and Other Toxic People",Jackson MacKenzie,2013,5938,https://www.goodreads.com/book/show/26190453-psychopath-free?from_search=true&from_srp=true&qid=87wG6jyDsC&rank=1
Quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012,468837,https://www.goodreads.com/book/show/8520610-quiet?from_search=true&from_srp=true&qid=PAQ9ZGA64I&rank=1
Radical Candor,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,2017,54756,https://www.goodreads.com/book/show/29939161-radical-candor?from_search=true&from_srp=true&qid=Pw2ZRqFZyP&rank=1
Relationship goals,"Relationship Goals: How to Win at Dating, Marriage, and Sex",Michael  Todd,2020,7213,https://www.goodreads.com/book/show/52535497-relationship-goals?from_search=true&from_srp=true&qid=32sm9iqUtz&rank=1
Rework,Rework,Jason Fried,2010,174024,https://www.goodreads.com/book/show/6732019-rework?from_search=true&from_srp=true&qid=XrhouyWG0Q&rank=1
Rich Dad Poor Dad,"Rich Dad, Poor Dad",Robert T. Kiyosaki,1997,703453,https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad?from_search=true&from_srp=true&qid=8C1ADPGWxV&rank=1
Sam walton: Made in America,Sam Walton: Made In America,Sam Walton,,27307,https://www.goodreads.com/book/show/10631.Sam_Walton?from_search=true&from_srp=true&qid=GIltezdzuc&rank=1
Scrum,Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,2014,23388,https://www.goodreads.com/book/show/19288230-scrum?from_search=true&from_srp=true&qid=0hwdGqQOeX&rank=1
Secrets of the millionaire mind,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,1999,73655,https://www.goodreads.com/book/show/785092.Secrets_of_the_Millionaire_Mind?from_search=true&from_srp=true&qid=XR4oOV2WOl&rank=1
salt sugar fat Michael moss,Summary of Salt Sugar Fat: by Michael Moss | Includes Analysis,Instaread Summaries,,12,https://www.goodreads.com/book/show/31821289-summary-of-salt-sugar-fat?from_search=true&from_srp=true&qid=RECUigHrX7&rank=1
Smarter faster better,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,2016,35509,https://www.goodreads.com/book/show/25733966-smarter-faster-better?from_search=true&from_srp=true&qid=ihvDixs19O&rank=1
Start with no,Start with NO...The Negotiating Tools that the Pros Don't Want You to Know,Jim Camp,2002,2585,https://www.goodreads.com/book/show/689417.Start_with_NO_The_Negotiating_Tools_that_the_Pros_Don_t_Want_You_to_Know?from_search=true&from_srp=true&qid=iV2scM8VBH&rank=1
Start with why,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,2009,261464,https://www.goodreads.com/book/show/7108725-start-with-why?from_search=true&from_srp=true&qid=jgTgKldhFw&rank=1
Steal like an artist,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,2012,328755,https://www.goodreads.com/book/show/13099738-steal-like-an-artist?from_search=true&from_srp=true&qid=IBbixLOEXB&rank=1
Stillness is the key,Stillness Is the Key,Ryan Holiday,2019,39430,https://www.goodreads.com/book/show/43582733-stillness-is-the-key?from_search=true&from_srp=true&qid=vZJ3AY98ok&rank=1
stock investing for dummies,Stock Investing for Dummies,Paul Mladjenovic,2002,1319,https://www.goodreads.com/book/show/171068.Stock_Investing_for_Dummies?from_search=true&from_srp=true&qid=kN1X4Z0gcC&rank=1
Superlife,Superlife,Darin Olien,2014,6216,https://www.goodreads.com/book/show/18651983-superlife?from_search=true&from_srp=true&qid=AsL5H9J97V&rank=1
Talking to strangers,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,2019,331948,https://www.goodreads.com/book/show/43848929-talking-to-strangers?from_search=true&from_srp=true&qid=4ovdK6pw2N&rank=1
Ted talks storytelling,TED Talks Storytelling: 23 Storytelling Techniques from the Best TED Talks,Akash Karia,2013,1804,https://www.goodreads.com/book/show/19409281-ted-talks-storytelling?from_search=true&from_srp=true&qid=gX4r55i5EC&rank=1
The 10x rule,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,2011,29518,https://www.goodreads.com/book/show/10339170-the-10x-rule?from_search=true&from_srp=true&qid=zu3v3dpIkc&rank=1
The 20/80 principle,The 80/20 Principle: The Secret to Achieving More with Less,Richard Koch,1997,30029,https://www.goodreads.com/book/show/181206.The_80_20_Principle?from_search=true&from_srp=true&qid=AlgU1HGObq&rank=1
